LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
1,2016-09-28,04:30:30,Info,CBS    Loaded Servicing Stack v6.1.7601.23505 with Core,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,54f007d7,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_<*>_none_681aa442f6fed7f0\cbscore.dll,['6.1.7601.23505']
2,2016-09-28,04:30:31,Info,CBS    SQM,Initializing online with Windows opt-in: False,1de9457d,Initializing online with Windows opt-in: False,[]
3,2016-09-28,04:30:31,Info,CBS    SQM,Cleaning up report files older than 10 days.,5dcd7722,Cleaning up report files older than 10 days.,[]
4,2016-09-28,04:30:31,Info,CBS    SQM,Requesting upload of all unsent reports.,c8d1544d,Requesting upload of all unsent reports.,[]
5,2016-09-28,04:30:31,Info,CBS    SQM,"Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",4a11e901,"Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",[]
6,2016-09-28,04:30:31,Info,CBS    SQM,Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],c3b6eb68,Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],[]
7,2016-09-28,04:30:31,Info,CBS    SQM,"Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",4360c027,"Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",[]
8,2016-09-28,04:30:31,Info,CBS    SQM,Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],de9c1624,Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],[]
9,2016-09-28,04:30:31,Info,CBS    NonStart,Checking to ensure startup processing was not required.,33a1836a,Checking to ensure startup processing was not required.,[]
10,2016-09-28,04:30:31,Info,CBS    NonStart,"Success, startup processing not required as expected.",e1a3d9c3,"Success, startup processing not required as expected.",[]
